Date,Open,High,Low,Close,Adj Close,Volume
2019-07-03,78.480003,79.449997,78.040001,78.839996,78.839996,1089100
2019-07-05,78.389999,78.940002,77.190002,78.889999,78.889999,635200
2019-07-08,77.970001,79.480003,77.870003,78.550003,78.550003,950700
2019-07-09,78.449997,80.699997,78.010002,80.550003,80.550003,1718400
2019-07-10,80.980003,81.459999,80.410004,81.050003,81.050003,1710200
2019-07-11,81.589996,84.199997,81.180000,84.059998,84.059998,2341700
2019-07-12,84.300003,84.760002,83.029999,84.709999,84.709999,1751200
2019-07-15,84.940002,85.230003,83.639999,85.019997,85.019997,1819700
2019-07-16,85.019997,85.639999,83.949997,84.769997,84.769997,1215500
2019-07-17,84.680000,86.830002,84.459999,86.550003,86.550003,1292100
2019-07-18,86.019997,86.730003,85.389999,86.449997,86.449997,1266500
2019-07-19,87.059998,88.650002,86.970001,87.360001,87.360001,1768700
2019-07-22,87.559998,88.150002,86.870003,87.550003,87.550003,868600
2019-07-23,88.290001,88.320000,86.320000,87.610001,87.610001,1024200
2019-07-24,87.139999,87.239998,86.160004,86.580002,86.580002,1607100
2019-07-25,86.040001,86.660004,85.089996,85.339996,85.339996,1012400
2019-07-26,85.820000,86.190002,85.260002,85.360001,85.360001,1033900
2019-07-29,85.339996,85.339996,81.209999,82.959999,82.959999,1924700
2019-07-30,82.129997,83.360001,82.099998,82.440002,82.440002,1148800
2019-07-31,82.430000,82.550003,79.379997,80.309998,80.309998,1758200
2019-08-01,80.440002,81.410004,78.849998,79.019997,79.019997,1826200
2019-08-02,88.000000,92.790001,85.889999,86.050003,86.050003,5660100
2019-08-05,83.370003,83.379997,78.830002,80.860001,80.860001,2952600
2019-08-06,81.459999,82.489998,80.540001,82.059998,82.059998,1976200
2019-08-07,80.489998,81.809998,79.050003,81.459999,81.459999,1990200
2019-08-08,82.099998,84.660004,82.099998,84.370003,84.370003,1702000
2019-08-09,84.250000,85.300003,83.080002,83.529999,83.529999,1549900
2019-08-12,83.000000,83.379997,81.419998,82.190002,82.190002,1226700
2019-08-13,81.540001,84.449997,81.459999,83.910004,83.910004,1656800
2019-08-14,82.199997,82.500000,79.129997,80.709999,80.709999,1563500
2019-08-15,80.800003,81.660004,79.790001,80.099998,80.099998,1526800
2019-08-16,80.839996,81.989998,80.360001,80.660004,80.660004,1072100
2019-08-19,81.940002,82.139999,81.080002,81.160004,81.160004,783700
2019-08-20,80.720001,81.110001,79.459999,79.669998,79.669998,1067100
2019-08-21,80.669998,82.540001,79.199997,81.970001,81.970001,1335200
2019-08-22,82.000000,82.349998,80.900002,81.750000,81.750000,750900
2019-08-23,81.750000,82.849998,80.050003,80.349998,80.349998,1644800
2019-08-26,80.830002,81.540001,80.500000,81.129997,81.129997,1329900
2019-08-27,81.519997,81.830002,80.400002,80.860001,80.860001,1363000
2019-08-28,80.080002,80.580002,77.110001,77.849998,77.849998,2050400
2019-08-29,78.930000,79.190002,77.169998,77.970001,77.970001,1821400
2019-08-30,78.589996,79.739998,78.250000,79.180000,79.180000,1258800
2019-09-03,78.510002,79.300003,77.330002,78.029999,78.029999,1276600
2019-09-04,79.239998,79.389999,77.669998,78.220001,78.220001,1122700
2019-09-05,79.570000,80.610001,78.809998,80.389999,80.389999,1557300
2019-09-06,80.500000,81.410004,79.839996,80.099998,80.099998,980300
2019-09-09,80.589996,81.029999,78.260002,79.010002,79.010002,1365000
2019-09-10,78.330002,79.550003,77.360001,79.209999,79.209999,1086800
2019-09-11,79.779999,80.879997,78.830002,79.849998,79.849998,1139200
2019-09-12,80.070000,80.669998,78.260002,78.370003,78.370003,1458500
2019-09-13,78.699997,79.199997,77.769997,78.110001,78.110001,1015800
2019-09-16,77.430000,79.900002,76.839996,79.669998,79.669998,969000
2019-09-17,79.900002,80.250000,78.599998,79.449997,79.449997,1175200
2019-09-18,79.300003,79.370003,77.760002,78.870003,78.870003,857700
2019-09-19,79.000000,79.599998,77.889999,78.419998,78.419998,1093200
2019-09-20,79.250000,80.199997,78.089996,78.230003,78.230003,2106800
2019-09-23,78.250000,79.980003,78.050003,79.260002,79.260002,1176600
2019-09-24,79.930000,79.949997,78.160004,79.279999,79.279999,1348400
